2021-07-20 09:26:11.917 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@][Y][W][B][T][V][S][E][A].',auto_category='[@][Y][W][B][T][V][S][E][A].',scores = 2. where id = 23402843
2021-07-20 09:26:12.130 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[T][Y].',auto_category='[T][Y].',scores = 1. where id = 23402833
2021-07-20 09:26:12.191 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402832
2021-07-20 09:26:12.256 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S].',auto_category='[S].',scores = 0. where id = 23402798
2021-07-20 09:26:12.398 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S][$][@].',auto_category='[S][$][@].',scores = 2. where id = 23402791
2021-07-20 09:26:12.488 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S].',auto_category='[S].',scores = 0. where id = 23402774
2021-07-20 09:26:13.719 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402944
2021-07-20 09:26:13.792 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S].',auto_category='[S].',scores = 0. where id = 23402932
2021-07-20 09:26:13.851 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402874
2021-07-20 09:26:13.916 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402836
2021-07-20 09:26:13.986 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[P].',auto_category='[P].',scores = 0. where id = 23402818
2021-07-20 09:26:14.073 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[T][P].',auto_category='[T][P].',scores = 1. where id = 23402813
2021-07-20 09:26:14.148 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S].',auto_category='[S].',scores = 0. where id = 23402795
2021-07-20 09:26:14.225 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S].',auto_category='[S].',scores = 0. where id = 23402770
2021-07-20 09:26:14.296 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402767
2021-07-20 09:26:14.373 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[T][P].',auto_category='[T][P].',scores = 1. where id = 23402740
2021-07-20 09:26:14.491 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402848
2021-07-20 09:26:15.521 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S][#].',auto_category='[S][#].',scores = 0. where id = 23402787
2021-07-20 09:26:19.689 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[A].',auto_category='[A].',scores = 1. where id = 23402937
2021-07-20 09:26:19.818 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 1. where id = 23402899
2021-07-20 09:26:19.939 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[U][Y].',auto_category='[U][Y].',scores = 0. where id = 23402786
2021-07-20 09:26:20.081 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[T].',auto_category='[T].',scores = 2. where id = 23402756
2021-07-20 09:26:20.280 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402853
2021-07-20 09:26:20.334 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402777
2021-07-20 09:26:27.757 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@][J][Y][W][B][T][V][S][E][A].',auto_category='[@][J][Y][W][B][T][V][S][E][A].',scores = 2. where id = 23402838
2021-07-20 09:26:27.814 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[U].',auto_category='[U].',scores = 0. where id = 23402800
2021-07-20 09:26:27.900 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402771
2021-07-20 09:26:28.057 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 1. where id = 23402962
2021-07-20 09:26:28.175 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[N][J][A].',auto_category='[N][J][A].',scores = 1. where id = 23402931
2021-07-20 09:26:28.307 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y][@].',auto_category='[Y][@].',scores = 2. where id = 23402921
2021-07-20 09:26:28.460 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y][@].',auto_category='[Y][@].',scores = 2. where id = 23402919
2021-07-20 09:26:28.623 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402910
2021-07-20 09:26:28.756 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y].',auto_category='[Y].',scores = 0. where id = 23402908
2021-07-20 09:26:28.816 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[*].',auto_category='[*].',scores = 0. where id = 23402827
2021-07-20 09:26:28.873 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[*][E].',auto_category='[*][E].',scores = 0. where id = 23402815
2021-07-20 09:26:28.941 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[*][T][E].',auto_category='[*][T][E].',scores = 0. where id = 23402789
2021-07-20 09:26:28.997 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402766
2021-07-20 09:26:29.054 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402765
2021-07-20 09:26:29.133 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[*][E].',auto_category='[*][E].',scores = 0. where id = 23402742
2021-07-20 09:26:29.189 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402731
2021-07-20 09:26:29.407 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[T][A].',auto_category='[T][A].',scores = 0. where id = 23402939
2021-07-20 09:26:29.724 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402733
2021-07-20 09:26:30.116 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402895
2021-07-20 09:26:30.202 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@][J][Y][W][B][T][V][S][E][A].',auto_category='[@][J][Y][W][B][T][V][S][E][A].',scores = 2. where id = 23402842
2021-07-20 09:26:31.151 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[W][H][@].',auto_category='[W][H][@].',scores = 1. where id = 23402846
2021-07-20 09:26:31.213 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 2. where id = 23402794
2021-07-20 09:26:32.132 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[H][@][T].',auto_category='[H][@][T].',scores = 1. where id = 23402971
2021-07-20 09:26:32.239 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Z][Y].',auto_category='[Z][Y].',scores = 1. where id = 23402859
2021-07-20 09:26:32.303 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402810
2021-07-20 09:26:32.370 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[E][F][Y][$].',auto_category='[E][F][Y][$].',scores = 2. where id = 23402753
2021-07-20 09:26:32.430 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402737
2021-07-20 09:26:35.960 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[T].',auto_category='[T].',scores = 0. where id = 23402974
2021-07-20 09:26:36.027 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402915
2021-07-20 09:26:36.311 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402811
2021-07-20 09:26:36.370 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402799
2021-07-20 09:26:36.446 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[E][$][@].',auto_category='[E][$][@].',scores = 2. where id = 23402738
2021-07-20 09:26:36.558 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[A].',auto_category='[A].',scores = 1. where id = 23402938
2021-07-20 09:26:38.809 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402880
2021-07-20 09:26:38.909 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402869
2021-07-20 09:26:39.058 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y].',auto_category='[Y].',scores = 0. where id = 23402858
2021-07-20 09:26:39.162 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[G].',auto_category='[G].',scores = 0. where id = 23402803
2021-07-20 09:26:39.262 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402769
2021-07-20 09:26:39.333 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402758
2021-07-20 09:26:39.394 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402745
2021-07-20 09:30:02.690 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S][U][$].',auto_category='[S][U][$].',scores = 0. where id = 23403056
2021-07-20 09:30:03.045 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23403000
2021-07-20 09:30:05.781 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[T][P].',auto_category='[T][P].',scores = 0. where id = 23403071
2021-07-20 09:30:05.847 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23403020
2021-07-20 09:30:05.909 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23403007
2021-07-20 09:30:06.006 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 1. where id = 23402990
2021-07-20 09:30:06.818 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[J].',auto_category='[J].',scores = 0. where id = 23403081
2021-07-20 09:30:08.769 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23403090
2021-07-20 09:30:09.891 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y][T][V][E][S][B][G][W][U][F].',auto_category='[Y][T][V][E][S][B][G][W][U][F].',scores = 1. where id = 23403034
2021-07-20 09:30:10.046 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[J][$].',auto_category='[J][$].',scores = 1. where id = 23403125
2021-07-20 09:30:10.101 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[J][F].',auto_category='[J][F].',scores = 0. where id = 23403096
2021-07-20 09:30:10.224 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[J].',auto_category='[J].',scores = -1. where id = 23403126
2021-07-20 09:30:10.283 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[J][*][E].',auto_category='[J][*][E].',scores = 0. where id = 23403044
2021-07-20 09:30:10.440 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S][U][$].',auto_category='[S][U][$].',scores = 0. where id = 23403055
2021-07-20 09:30:10.716 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[J][$].',auto_category='[J][$].',scores = 1. where id = 23403128
2021-07-20 09:30:10.831 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23403116
2021-07-20 09:30:10.916 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23403097
2021-07-20 09:30:10.997 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S][Y].',auto_category='[S][Y].',scores = 0. where id = 23403073
2021-07-20 09:30:11.058 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23403065
